projected_points,confidence_lower,confidence_upper,confidence_level,player_id,player_name,position,team,week,season
7.03,0.0,16.45,0.95,00-0040667,Matthew Golden,WR,GB,5,2025
7.01,0.0,19.05,0.95,00-0037013,Zach Wilson,QB,MIA,5,2025
6.98,0.16,13.81,0.95,00-0032385,Sterling Shepard,WR,TB,5,2025
6.97,0.0,19.57,0.95,00-0034775,Christian Kirk,WR,HOU,5,2025
6.92,0.0,14.43,0.95,00-0039355,Luke McCaffrey,WR,WAS,5,2025
6.91,0.0,21.09,0.95,00-0038979,Cedric Tillman,WR,CLE,5,2025
6.9,0.0,26.71,0.95,00-0031687,Raheem Mostert,RB,LV,5,2025
6.88,0.0,19.02,0.95,00-0035535,Darius Slayton,WR,NYG,5,2025
6.87,0.0,19.33,0.95,00-0032156,Trevor Siemian,QB,TEN,5,2025
6.84,0.0,19.92,0.95,00-0039152,Will Levis,QB,TEN,5,2025
6.8,0.0,21.44,0.95,00-0033858,Jonnu Smith,TE,PIT,5,2025
6.78,0.0,19.53,0.95,00-0038608,Kayshon Boutte,WR,NE,5,2025
6.66,0.0,14.97,0.95,00-0037809,Chig Okonkwo,TE,TEN,5,2025
6.61,0.0,29.07,0.95,00-0040691,Jaxson Dart,QB,NYG,5,2025
6.6,0.0,13.99,0.95,00-0037005,Tommy Tremble,TE,CAR,5,2025
6.6,0.0,14.92,0.95,00-0040189,Oronde Gadsden II,TE,LAC,5,2025
6.59,0.0,24.77,0.95,00-0040735,Luther Burden III,WR,CHI,5,2025
6.5,0.0,19.7,0.95,00-0039792,Devontez Walker,WR,BAL,5,2025
6.47,0.0,17.89,0.95,00-0035208,Olamide Zaccheaus,WR,CHI,5,2025
6.46,0.0,20.05,0.95,00-0033881,Evan Engram,TE,DEN,5,2025
6.41,0.0,15.95,0.95,00-0034972,Alexander Mattison,RB,MIA,5,2025
6.37,0.0,21.63,0.95,00-0036183,Kristian Wilkerson,WR,BUF,5,2025
6.35,0.0,19.45,0.95,00-0037838,Isaiah Likely,TE,BAL,5,2025
6.35,0.0,15.05,0.95,00-0039356,Ja'Tavion Sanders,TE,CAR,5,2025
6.3,0.0,21.88,0.95,00-0040466,Raheim Sanders,RB,CLE,5,2025
6.28,0.0,15.75,0.95,00-0037291,Jalen Nailor,WR,MIN,5,2025
6.27,0.0,17.94,0.95,00-0036139,Rico Dowdle,RB,CAR,5,2025
6.27,0.0,21.9,0.95,00-0038122,Desmond Ridder,QB,MIN,5,2025
6.26,0.0,21.69,0.95,00-0034771,Mason Rudolph,QB,PIT,5,2025
6.25,0.0,15.09,0.95,00-0033555,Mack Hollins,WR,NE,5,2025
